PROTOCOL;A_0,1lx;A_1lx;A_10lx;A_100lx;A_1000lx
;;;;;
Type:;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE
;;;;;
PeakBand:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
BandMin:;380 [nm];380 [nm];380 [nm];380 [nm];380 [nm]
BandMax:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
Resolution:;1 [nm];1 [nm];1 [nm];1 [nm];1 [nm]
;;;;;
BEGIN_DATA;;;;;
380nm;0.00013292;0.00132919;0.01329189;0.13291892;1.32918921
381nm;0.00013583;0.00135830;0.01358297;0.13582967;1.35829674
382nm;0.00013878;0.00138784;0.01387838;0.13878385;1.38783850
383nm;0.00014178;0.00141780;0.01417801;0.14178009;1.41780092
384nm;0.00014482;0.00144821;0.01448211;0.14482112;1.44821116
385nm;0.00014791;0.00147907;0.01479069;0.14790692;1.47906920
386nm;0.00015104;0.00151036;0.01510361;0.15103615;1.51036149
387nm;0.00015421;0.00154209;0.01542088;0.15420880;1.54208801
388nm;0.00015743;0.00157428;0.01574276;0.15742759;1.57427590
389nm;0.00016069;0.00160690;0.01606898;0.16068980;1.60689804
390nm;0.00016400;0.00163997;0.01639968;0.16399680;1.63996798
391nm;0.00016735;0.00167350;0.01673499;0.16734993;1.67349931
392nm;0.00017075;0.00170748;0.01707478;0.17074784;1.70747844
393nm;0.00017419;0.00174192;0.01741919;0.17419189;1.74191895
394nm;0.00017768;0.00177682;0.01776821;0.17768208;1.77682083
395nm;0.00018122;0.00181217;0.01812171;0.18121705;1.81217053
396nm;0.00018480;0.00184798;0.01847982;0.18479816;1.84798160
397nm;0.00018843;0.00188425;0.01884254;0.18842540;1.88425405
398nm;0.00019210;0.00192100;0.01921001;0.19210014;1.92100145
399nm;0.00019582;0.00195820;0.01958197;0.19581967;1.95819665
400nm;0.00019959;0.00199587;0.01995867;0.19958668;1.99586681
401nm;0.00020340;0.00203401;0.02034012;0.20340119;2.03401191
402nm;0.00020726;0.00207262;0.02072618;0.20726184;2.07261839
403nm;0.00021117;0.00211170;0.02111700;0.21116998;2.11169982
404nm;0.00021512;0.00215124;0.02151243;0.21512426;2.15124262
405nm;0.00021913;0.00219127;0.02191274;0.21912739;2.19127395
406nm;0.00022318;0.00223177;0.02231767;0.22317666;2.23176665
407nm;0.00022727;0.00227275;0.02272748;0.22727479;2.27274787
408nm;0.00023142;0.00231419;0.02314190;0.23141905;2.31419046
409nm;0.00023561;0.00235612;0.02356122;0.23561216;2.35612158
410nm;0.00023985;0.00239853;0.02398528;0.23985276;2.39852764
411nm;0.00024414;0.00244141;0.02441409;0.24414087;2.44140865
412nm;0.00024848;0.00248476;0.02484765;0.24847646;2.48476461
413nm;0.00025286;0.00252861;0.02528609;0.25286091;2.52860909
414nm;0.00025729;0.00257293;0.02572929;0.25729285;2.57292851
415nm;0.00026177;0.00261774;0.02617736;0.26177365;2.61773646
416nm;0.00026630;0.00266302;0.02663019;0.26630193;2.66301935
417nm;0.00027088;0.00270879;0.02708791;0.27087908;2.70879076
418nm;0.00027551;0.00275505;0.02755051;0.27550507;2.75505068
419nm;0.00028018;0.00280179;0.02801786;0.28017856;2.80178556
420nm;0.00028490;0.00284901;0.02849009;0.28490089;2.84900895
421nm;0.00028967;0.00289671;0.02896707;0.28967073;2.89670729
422nm;0.00029449;0.00294489;0.02944894;0.29448941;2.94489415
423nm;0.00029936;0.00299357;0.02993570;0.29935695;2.99356952
424nm;0.00030427;0.00304272;0.03042720;0.30427198;3.04271984
425nm;0.00030924;0.00309236;0.03092359;0.30923587;3.09235869
426nm;0.00031425;0.00314249;0.03142486;0.31424860;3.14248604
427nm;0.00031931;0.00319310;0.03193102;0.31931019;3.19310192
428nm;0.00032442;0.00324419;0.03244193;0.32441927;3.24419275
429nm;0.00032958;0.00329577;0.03295772;0.32957721;3.29577209
430nm;0.00033478;0.00334783;0.03347826;0.33478264;3.34782638
431nm;0.00034004;0.00340037;0.03400369;0.34003692;3.40036919
432nm;0.00034534;0.00345340;0.03453401;0.34534005;3.45340051
433nm;0.00035069;0.00350691;0.03506907;0.35069068;3.50690679
434nm;0.00035609;0.00356090;0.03560902;0.35609016;3.56090158
435nm;0.00036154;0.00361537;0.03615371;0.36153713;3.61537132
436nm;0.00036703;0.00367033;0.03670330;0.36703296;3.67032958
437nm;0.00037258;0.00372576;0.03725763;0.37257628;3.72576278
438nm;0.00037817;0.00378168;0.03781685;0.37816845;3.78168451
439nm;0.00038381;0.00383807;0.03838068;0.38380676;3.83806761
440nm;0.00038949;0.00389494;0.03894939;0.38949392;3.89493923
441nm;0.00039523;0.00395229;0.03952286;0.39522858;3.95228580
442nm;0.00040101;0.00401012;0.04010121;0.40101209;4.01012088
443nm;0.00040684;0.00406842;0.04068417;0.40684173;4.06841735
444nm;0.00041272;0.00412719;0.04127189;0.41271888;4.12718876
445nm;0.00041864;0.00418644;0.04186435;0.41864351;4.18643512
446nm;0.00042462;0.00424616;0.04246156;0.42461564;4.24615642
447nm;0.00043064;0.00430635;0.04306353;0.43063527;4.30635268
448nm;0.00043670;0.00436701;0.04367010;0.43670103;4.36701031
449nm;0.00044281;0.00442814;0.04428143;0.44281429;4.42814289
450nm;0.00044897;0.00448974;0.04489737;0.44897368;4.48973685
